"Group.1","x"
349,3.05347474747475
350,2.35448611111111
351,1.53043472222222
352,1.15707916666667
353,1.54565833333333
354,1.19375799721836
355,1.62592916666667
356,3.31485138888889
357,1.77084166666667
358,1.90494444444444
359,2.73202083333333
360,1.06163888888889
361,1.43933194444444
362,2.20443888888889
363,1.93970931849791
364,2.426525
365,1.90903055555556
366,0.881413888888889
367,0.704204166666667
368,2.26348055555556
369,1.88428055555556
370,1.04748472222222
371,1.69973611111111
372,1.5565
373,1.29795416666667
374,1.49638888888889
375,1.56610694444444
376,1.01478888888889
377,2.21306527777778
378,2.09021264767199
379,1.4921375
380,1.17111388888889
381,1.97756111111111
382,1.26490416666667
383,1.02808333333333
384,2.17620277777778
385,2.36615416666667
386,1.51423194444444
387,1.23447222222222
388,2.07489861111111
389,1.10857222222222
390,1.12359166666667
391,1.41949444444444
392,2.14746629603892
393,1.37685
394,1.18597083333333
395,1.64149444444444
396,1.26719444444444
397,1.15815
398,2.79841805555556
399,2.49718055555556
400,1.14255555555556
401,0.884361111111111
402,1.61667916666667
403,1.25098194444444
404,1.1251375
405,1.96481111111111
406,2.48001944444444
407,1.30389583333333
408,0.982323611111111
409,1.73518888888889
410,1.3787125
411,1.18231111111111
412,1.4423
413,2.65955694444444
414,1.51848194444444
415,2.18745
416,1.43949583333333
417,2.34316968011127
418,0.912138888888889
419,0.496473611111111
420,0.348430555555556
421,0.394780555555556
422,0.3598
423,0.361648611111111
424,0.359419444444444
425,0.358116666666667
426,0.568834722222222
427,1.451875
428,1.84745277777778
429,0.865625
430,1.64944861111111
431,1.09175833333333
432,0.883758333333333
433,1.72549444444444
434,2.41710833333333
435,1.35463055555556
436,0.895933333333333
437,1.24539166666667
438,1.30889861111111
439,1.18198194444444
440,1.40839583333333
441,1.64655972222222
442,1.49480416666667
443,1.44876944444444
444,1.48756388888889
445,1.01040138888889
446,0.909033333333333
447,2.06140972222222
448,2.31836275191105
449,0.983390277777778
450,0.767458333333333
451,1.6207625
452,1.10444861111111
453,0.973884722222222
454,2.43715972222222
455,1.93468888888889
456,1.36165138888889
457,1.14084722222222
458,1.42490833333333
459,1.28060972222222
460,1.11190277777778
461,1.07911388888889
462,1.11723333333333
463,0.695083333333333
464,0.539836111111111
465,0.616306944444444
466,0.373406944444444
467,0.382654166666667
468,0.384908333333333
469,0.504280555555556
470,0.661381944444444
471,0.849815277777778
472,0.693226388888889
473,0.714345833333333
474,0.571236111111111
475,1.16226111111111
476,1.55119027777778
477,0.7323375
478,0.716736111111111
479,0.877890277777778
480,0.885740277777778
481,0.759952777777778
482,1.0827619047619
484,0.73059375
485,1.15545694444444
486,0.696865277777778
487,0.757109722222222
488,0.693144444444444
489,1.08545277777778
490,1.45979444444444
491,1.14143333333333
492,1.24256388888889
493,1.15676111111111
494,0.491586111111111
495,0.679968055555556
496,1.0010875
497,1.13523472222222
498,1.01929305555556
499,0.62805
500,1.17565555555556
501,0.855427777777778
502,1.13300694444444
503,0.992668055555556
504,1.36689444444444
505,0.777820833333333
506,0.786702777777778
507,1.01731666666667
508,0.801658333333333
509,1.12098611111111
510,1.05017222222222
511,1.4957
512,1.13713055555556
